id;Фамилия;Имя;Отчество;Год рождения;Телефон;Статус
1248;Дудинцев;Владимир;Дмитриевич;1918;79111111155;Ученик
1249;Солженицын;Александр;Исаевич;1918;79111111156;Учитель
1250;Воробьёв;Константин;Дмитриевич;1919;79111111157;Ученик
1251;Гранин;Даниил;Александрович;1919;79111111158;Ученик
1252;Абрамов;Фёдор;Александрович;1920;79111111159;Ученик
1253;Кондратьев;Вячеслав;Леонидович;1920;79111111160;Ученик
1254;Нагибин;Ю́рий;Маркович;1920;79111111161;Ученик
1255;Курочкин;Виктор;Александрович;1923;79111111162;Ученик
1256;Тендряков;Владимир;Фёдорович;1923;79111111163;Ученик
1257;Можаев;Борис;Андреевич;1923;79111111164;Ученик
1258;Бакланов;Григорий;Я́ковлевич;1923;79111111165;Учитель
1259;Астафьев;Виктор;Петрович;1924;79111111166;Ученик
1260;Быков;Василь;Владимирович;1924;79111111167;Ученик
1261;Богомолов;Владимир;Осипович;1924;79111111168;Ученик
1262;Васильев;Борис;Львович;1924;79111111169;Ученик
1263;Бондарев;Ю́рий;Васильевич;1924;79111111170;Ученик
1264;Трифонов;Ю́рий;Валентинович;1925;79111111171;Ученик
1265;Носов;Евгений;Иванович;1925;79111111172;Ученик
1266;Липатов;Виль;Владимирович;1927;79111111173;Ученик
1267;Адамович;Александр;Алесь;1927;79111111174;Ученик
1268;Рекемчук;Александр;Евсеевич;1927;79111111175;Учитель
1269;Чивилихин;Владимир;Алексеевич;1928;79111111176;Ученик
1270;Айтматов;Чингиз;Торекулович;1928;79111111177;Ученик
1271;Пикуль;Валентин;Саввич;1928;79111111178;Ученик
1272;Кузнецов;Анатолий;Васильевич;1929;79111111179;Ученик
1273;Шукшин;Василий;Макарович;1929;79111111180;Ученик
1274;Искандер;Фазиль;Абдулович;1929;79111111181;Ученик
1275;Семёнов;Юлиан;Семёнович;1931;79111111182;Ученик
1276;Владимов;Георгий;Николаевич;1931;79111111183;Ученик
1277;Приставкин;Анатолий;Игнатьевич;1931;79111111184;Учитель
1278;Мамлеев;Ю́рий;Витальевич;1931;79111111185;Ученик
1279;Аксёнов;Василий;Павлович;1932;79111111186;Ученик
1280;Белов;Василий;Иванович;1932;79111111187;Ученик
1281;Войнович;Владимир;Николаевич;1932;79111111188;Ученик
1282;Орлов;Владимир;Викторович;1936;79111111189;Ученик
1283;Распутин;Валентин;Григорьевич;1937;79111111190;Ученик
1284;Маканин;Владимир;Семёнович;1937;79111111191;Ученик
1285;Битов ;Андрей;Георгиевич;1937;79111111192;Ученик
1286;Токарева;Виктория;Самойловна;1937;79111111193;Учитель
1287;Ерофеев;Венедикт;Васильевич;1938;79111111194;Ученик
1288;Довлатов;Сергей;Донатович;1941;79111111195;Ученик
1289;Крупин;Владимир;Николаевич;1941;79111111196;Ученик
1290;Лимонов;Эдуард;Вениаминович;1943;79111111197;Ученик
1291;Алексиевич;Светлана;Александровна;1948;79111111198;Ученик
1292;Толстая;Татья́на;Никитична;1951;79111111199;Ученик
1293;Поляков;Ю́рий;Михайлович;1954;79111111200;Ученик
1294;Бунин;Иван;Алексеевич;1870;79111111111;Ученик
1295;Куприн;Александр;Иванович;1870;79111111112;Ученик
1296;Арсеньев;Владимир;Клавдиевич;1872;79111111113;Ученик
1297;Пришвин;Михаил;Михайлович;1873;79111111114;Ученик
1298;Шмелёв;Иван;Сергеевич;1873;79111111115;Ученик
1299;Новиков-Прибой;Алексей;Силыч;1877;79111111116;Ученик
1300;Толстой;Алексей;Николаевич;1883;79111111117;Ученик
1301;Замятин;Евгений;Иванович;1884;79111111118;Ученик
1302;Булгаков;Михаил;Афанасьевич;1891;79111111119;Учитель
1303;Эренбург;Илья́;Григорьевич;1891;79111111120;Ученик
1304;Адамович;Георгий;Викторович;1892;79111111121;Ученик
1305;Добычин;Леонид;Иванович;1894;79111111122;Ученик
1306;Бабель;Исаак;Эммануилович;1894;79111111123;Ученик
1307;Пильня́к;Борис;Андреевич;1894;79111111124;Ученик
1308;Тыня́нов;Ю́рий;Николаевич;1894;79111111125;Ученик
1309;Зощенко;Михаил;Михайлович;1894;79111111126;Ученик
1310;Иванов;Всеволод;Вячеславович;1895;79111111127;Ученик
1311;Катаев;Валентин;Петрович;1897;79111111128;Учитель
1312;Набоков;Владимир;Владимирович;1899;79111111129;Ученик
1313;Олеша;Ю́рий;Карлович;1899;79111111130;Ученик
1314;Фадеев;Александр;Александрович;1901;79111111131;Ученик
1315;Островский;Николай;Алексеевич;1904;79111111132;Ученик
1316;Гайдар;Аркадий;Петрович;1904;79111111133;Ученик
1317;Хармс;Даниил;Иванович;1905;79111111134;Ученик
1318;Шолохов;Михаил;Александрович;1905;79111111135;Ученик
1319;Паустовский;Константин;Георгиевич;1892;79111111136;Ученик
1320;Соколов-Микитов;Иван;Сергеевич;1892;79111111137;Учитель
1321;Бианки;Виталий;Валентинович;1894;79111111138;Ученик
1322;Шпанов;Николай;Николаевич;1896;79111111139;Ученик
1323;Катаев;Валентин;Петрович;1897;79111111140;Ученик
1324;Леонов;Леонид;Максимович;1899;79111111141;Ученик
1325;Фадеев;Александр;Александрович;1901;79111111142;Ученик
1326;Каверин;Вениамин;Александрович;1902;79111111143;Ученик
1327;Газданов;Гайто;Георгий;1903;79111111144;Ученик
1328;Симонов;Константин;Кирилл;1915;79111111145;Ученик
1329;Гроссман;Василий;Семёнович;1905;79111111146;Ученик
1330;Полевой;Борис;Николаевич;1908;79111111147;Учитель
1331;Домбровский;Ю́рий;Осипович;1909;79111111148;Ученик
1332;Герман;Ю́рий;Георгий;1910;79111111149;Ученик
1333;Некрасов;Виктор;Платонович;1911;79111111150;Ученик
1334;Рыбаков;Анатолий;Наумович;1911;79111111151;Ученик
1335;Казакевич;Эммануил;Генрихович;1913;79111111152;Ученик
1336;Залыгин;Сергей;Павлович;1913;79111111153;Ученик
1337;Ажаев;Василий;Николаевич;1915;79111111154;Ученик
1338;Дудинцев;Владимир;Дмитриевич;1918;79111111155;Ученик
1339;Солженицын;Александр;Исаевич;1918;79111111156;Учитель
1340;Воробьёв;Константин;Дмитриевич;1919;79111111157;Ученик
1341;Гранин;Даниил;Александрович;1919;79111111158;Ученик
1342;Абрамов;Фёдор;Александрович;1920;79111111159;Ученик
1343;Кондратьев;Вячеслав;Леонидович;1920;79111111160;Ученик
1344;Нагибин;Ю́рий;Маркович;1920;79111111161;Ученик
1345;Курочкин;Виктор;Александрович;1923;79111111162;Ученик
1346;Тендряков;Владимир;Фёдорович;1923;79111111163;Ученик
1347;Можаев;Борис;Андреевич;1923;79111111164;Ученик
1348;Бакланов;Григорий;Я́ковлевич;1923;79111111165;Учитель
1349;Астафьев;Виктор;Петрович;1924;79111111166;Ученик
1350;Быков;Василь;Владимирович;1924;79111111167;Ученик
1351;Богомолов;Владимир;Осипович;1924;79111111168;Ученик
1352;Васильев;Борис;Львович;1924;79111111169;Ученик
1353;Бондарев;Ю́рий;Васильевич;1924;79111111170;Ученик
1354;Трифонов;Ю́рий;Валентинович;1925;79111111171;Ученик
1355;Носов;Евгений;Иванович;1925;79111111172;Ученик
1356;Липатов;Виль;Владимирович;1927;79111111173;Ученик
1357;Адамович;Александр;Алесь;1927;79111111174;Ученик
1358;Рекемчук;Александр;Евсеевич;1927;79111111175;Учитель
1359;Чивилихин;Владимир;Алексеевич;1928;79111111176;Ученик
1360;Айтматов;Чингиз;Торекулович;1928;79111111177;Ученик
1361;Пикуль;Валентин;Саввич;1928;79111111178;Ученик
1362;Кузнецов;Анатолий;Васильевич;1929;79111111179;Ученик
1363;Шукшин;Василий;Макарович;1929;79111111180;Ученик
1364;Искандер;Фазиль;Абдулович;1929;79111111181;Ученик
1365;Семёнов;Юлиан;Семёнович;1931;79111111182;Ученик
1366;Владимов;Георгий;Николаевич;1931;79111111183;Ученик
1367;Приставкин;Анатолий;Игнатьевич;1931;79111111184;Учитель
1368;Мамлеев;Ю́рий;Витальевич;1931;79111111185;Ученик
1369;Аксёнов;Василий;Павлович;1932;79111111186;Ученик
1370;Белов;Василий;Иванович;1932;79111111187;Ученик
1371;Войнович;Владимир;Николаевич;1932;79111111188;Ученик
1372;Орлов;Владимир;Викторович;1936;79111111189;Ученик
1373;Распутин;Валентин;Григорьевич;1937;79111111190;Ученик
1374;Маканин;Владимир;Семёнович;1937;79111111191;Ученик
1375;Битов ;Андрей;Георгиевич;1937;79111111192;Ученик
1376;Токарева;Виктория;Самойловна;1937;79111111193;Учитель
1377;Ерофеев;Венедикт;Васильевич;1938;79111111194;Ученик
1378;Довлатов;Сергей;Донатович;1941;79111111195;Ученик
1379;Крупин;Владимир;Николаевич;1941;79111111196;Ученик
1380;Лимонов;Эдуард;Вениаминович;1943;79111111197;Ученик
1381;Алексиевич;Светлана;Александровна;1948;79111111198;Ученик
1382;Толстая;Татья́на;Никитична;1951;79111111199;Ученик
1383;Поляков;Ю́рий;Михайлович;1954;79111111200;Ученик
1384;Бунин;Иван;Алексеевич;1870;79111111111;Ученик
1385;Куприн;Александр;Иванович;1870;79111111112;Ученик
1386;Арсеньев;Владимир;Клавдиевич;1872;79111111113;Ученик
1387;Пришвин;Михаил;Михайлович;1873;79111111114;Ученик
1388;Шмелёв;Иван;Сергеевич;1873;79111111115;Ученик
1389;Новиков-Прибой;Алексей;Силыч;1877;79111111116;Ученик
1390;Толстой;Алексей;Николаевич;1883;79111111117;Ученик
1391;Замятин;Евгений;Иванович;1884;79111111118;Ученик
1392;Булгаков;Михаил;Афанасьевич;1891;79111111119;Учитель
1393;Эренбург;Илья́;Григорьевич;1891;79111111120;Ученик
1394;Адамович;Георгий;Викторович;1892;79111111121;Ученик
1395;Добычин;Леонид;Иванович;1894;79111111122;Ученик
1396;Бабель;Исаак;Эммануилович;1894;79111111123;Ученик
1397;Пильня́к;Борис;Андреевич;1894;79111111124;Ученик
1398;Тыня́нов;Ю́рий;Николаевич;1894;79111111125;Ученик
1399;Зощенко;Михаил;Михайлович;1894;79111111126;Ученик
1400;Иванов;Всеволод;Вячеславович;1895;79111111127;Ученик
1401;Катаев;Валентин;Петрович;1897;79111111128;Учитель
1402;Набоков;Владимир;Владимирович;1899;79111111129;Ученик
1403;Олеша;Ю́рий;Карлович;1899;79111111130;Ученик
1404;Фадеев;Александр;Александрович;1901;79111111131;Ученик
1405;Островский;Николай;Алексеевич;1904;79111111132;Ученик
1406;Гайдар;Аркадий;Петрович;1904;79111111133;Ученик
1407;Хармс;Даниил;Иванович;1905;79111111134;Ученик
1408;Шолохов;Михаил;Александрович;1905;79111111135;Ученик
1409;Паустовский;Константин;Георгиевич;1892;79111111136;Ученик
1410;Соколов-Микитов;Иван;Сергеевич;1892;79111111137;Учитель
1411;Бианки;Виталий;Валентинович;1894;79111111138;Ученик
1412;Шпанов;Николай;Николаевич;1896;79111111139;Ученик
1413;Катаев;Валентин;Петрович;1897;79111111140;Ученик
1414;Леонов;Леонид;Максимович;1899;79111111141;Ученик
1415;Фадеев;Александр;Александрович;1901;79111111142;Ученик
1416;Каверин;Вениамин;Александрович;1902;79111111143;Ученик
1417;Газданов;Гайто;Георгий;1903;79111111144;Ученик
1418;Симонов;Константин;Кирилл;1915;79111111145;Ученик
1419;Гроссман;Василий;Семёнович;1905;79111111146;Ученик
1420;Полевой;Борис;Николаевич;1908;79111111147;Учитель
1421;Домбровский;Ю́рий;Осипович;1909;79111111148;Ученик
1422;Герман;Ю́рий;Георгий;1910;79111111149;Ученик
1423;Некрасов;Виктор;Платонович;1911;79111111150;Ученик
1424;Рыбаков;Анатолий;Наумович;1911;79111111151;Ученик
1425;Казакевич;Эммануил;Генрихович;1913;79111111152;Ученик
1426;Залыгин;Сергей;Павлович;1913;79111111153;Ученик
1427;Ажаев;Василий;Николаевич;1915;79111111154;Ученик
1428;Дудинцев;Владимир;Дмитриевич;1918;79111111155;Ученик
1429;Солженицын;Александр;Исаевич;1918;79111111156;Учитель
1430;Воробьёв;Константин;Дмитриевич;1919;79111111157;Ученик
1431;Гранин;Даниил;Александрович;1919;79111111158;Ученик
1432;Абрамов;Фёдор;Александрович;1920;79111111159;Ученик
1433;Кондратьев;Вячеслав;Леонидович;1920;79111111160;Ученик
1434;Нагибин;Ю́рий;Маркович;1920;79111111161;Ученик
1435;Курочкин;Виктор;Александрович;1923;79111111162;Ученик
1436;Тендряков;Владимир;Фёдорович;1923;79111111163;Ученик
1437;Можаев;Борис;Андреевич;1923;79111111164;Ученик
1438;Бакланов;Григорий;Я́ковлевич;1923;79111111165;Учитель
1439;Астафьев;Виктор;Петрович;1924;79111111166;Ученик
1440;Быков;Василь;Владимирович;1924;79111111167;Ученик
1441;Богомолов;Владимир;Осипович;1924;79111111168;Ученик
1442;Васильев;Борис;Львович;1924;79111111169;Ученик
1443;Бондарев;Ю́рий;Васильевич;1924;79111111170;Ученик
1444;Трифонов;Ю́рий;Валентинович;1925;79111111171;Ученик
1445;Носов;Евгений;Иванович;1925;79111111172;Ученик
1446;Липатов;Виль;Владимирович;1927;79111111173;Ученик
1447;Адамович;Александр;Алесь;1927;79111111174;Ученик
1448;Рекемчук;Александр;Евсеевич;1927;79111111175;Учитель
1449;Чивилихин;Владимир;Алексеевич;1928;79111111176;Ученик
1450;Айтматов;Чингиз;Торекулович;1928;79111111177;Ученик
1451;Пикуль;Валентин;Саввич;1928;79111111178;Ученик
1452;Кузнецов;Анатолий;Васильевич;1929;79111111179;Ученик
1453;Шукшин;Василий;Макарович;1929;79111111180;Ученик
1454;Искандер;Фазиль;Абдулович;1929;79111111181;Ученик
1455;Семёнов;Юлиан;Семёнович;1931;79111111182;Ученик
1456;Владимов;Георгий;Николаевич;1931;79111111183;Ученик
1457;Приставкин;Анатолий;Игнатьевич;1931;79111111184;Учитель
1458;Мамлеев;Ю́рий;Витальевич;1931;79111111185;Ученик
1459;Аксёнов;Василий;Павлович;1932;79111111186;Ученик
1460;Белов;Василий;Иванович;1932;79111111187;Ученик
1461;Войнович;Владимир;Николаевич;1932;79111111188;Ученик
1462;Орлов;Владимир;Викторович;1936;79111111189;Ученик
1463;Распутин;Валентин;Григорьевич;1937;79111111190;Ученик
1464;Маканин;Владимир;Семёнович;1937;79111111191;Ученик
1465;Битов ;Андрей;Георгиевич;1937;79111111192;Ученик
1466;Токарева;Виктория;Самойловна;1937;79111111193;Учитель
1467;Ерофеев;Венедикт;Васильевич;1938;79111111194;Ученик
1468;Довлатов;Сергей;Донатович;1941;79111111195;Ученик
1469;Крупин;Владимир;Николаевич;1941;79111111196;Ученик
1470;Лимонов;Эдуард;Вениаминович;1943;79111111197;Ученик
1471;Алексиевич;Светлана;Александровна;1948;79111111198;Ученик
1472;Толстая;Татья́на;Никитична;1951;79111111199;Ученик
1473;Поляков;Ю́рий;Михайлович;1954;79111111200;Ученик
